sample_id,invoice_id,generated_scenario,label,edit_count,approve_count,reject_count,status_changed_count,distinct_user_count,validation_count,export_count,subtotal_change_ratio,tax_change_ratio,total_change_ratio,vendor_changed,invoice_number_changed,currency_changed,edited_after_approved,exported_after_rejected,outside_business_hours,has_deleted_line_item,has_reopened_invoice,total_tax_mismatch,repeated_processing_attempts,minutes_between_create_and_approve,max_updates_within_10_minutes,audit_duration_minutes,anomaly_reason_codes,notes
NORMAL-0001,1135454a-fb8e-5d85-a392-8107765c709e,normal_two_user_review,0,2,1,0,1,2,1,0,0.013,0.023,0.013,0,0,0,0,0,0,0,0,0,0,17,1,121,,Two reviewers participated in a normal approval workflow.
NORMAL-0002,6ec84a4b-cfd3-554f-84a9-c4ea09126751,normal_two_user_review,0,2,1,0,1,3,2,0,0.010,0.022,0.015,0,0,0,0,0,0,0,0,0,0,303,1,631,,Two reviewers participated in a normal approval workflow.
NORMAL-0003,ff4783a0-485e-5a5d-a07c-62834b0dea49,normal_straight_through,0,0,1,0,1,1,0,0,0.000,0.000,0.001,0,0,0,0,0,0,0,0,0,0,164,1,266,,Invoice followed a low-touch review and approval path.
NORMAL-0004,5845f70c-37b6-5c38-ba6d-2e4845a0d1c3,normal_minor_correction,0,2,1,0,1,1,2,0,0.008,0.030,0.013,1,0,0,0,0,0,0,0,0,0,85,1,425,,Small pre-approval correction resolved during routine review.
NORMAL-0005,ebc274bc-ac7a-53c6-8957-314a7a5be60f,normal_straight_through,0,1,1,0,1,1,0,0,0.012,0.009,0.009,0,0,0,0,0,0,0,0,0,0,346,0,652,,Invoice followed a low-touch review and approval path.
NORMAL-0006,dbcd18ef-8d39-5bf9-8956-67b4e9d51c16,normal_straight_through,0,0,1,0,1,1,0,0,0.000,0.000,0.003,0,0,0,0,0,0,0,0,0,0,15,0,113,,Invoice followed a low-touch review and approval path.
NORMAL-0007,59330b1b-59bd-5b38-9959-338f7ea48503,normal_straight_through,0,0,1,0,1,1,0,1,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,422,1,1141,,Invoice followed a low-touch review and approval path.
NORMAL-0008,6a65c38e-e234-5490-a022-9a4a35e69ace,normal_minor_correction,0,1,1,0,1,1,1,0,0.007,0.006,0.007,0,0,0,0,0,0,0,0,0,0,134,0,267,,Small pre-approval correction resolved during routine review.
NORMAL-0009,c0629eb1-80dc-59bd-91e4-93d60fc6065b,normal_straight_through,0,0,1,0,1,1,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,419,0,608,,Invoice followed a low-touch review and approval path.
NORMAL-0010,d9de8cd7-8985-5d3c-a0b4-e4d4c183941b,normal_two_user_review,0,2,1,0,1,3,1,0,0.012,0.018,0.014,0,0,0,0,0,0,0,0,0,0,168,0,379,,Two reviewers participated in a normal approval workflow.
NORMAL-0011,27dbb976-20d7-5589-9f13-bbd97d8880d9,normal_exported_after_approval,0,0,1,0,1,2,0,1,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,393,1,810,,Invoice was exported only after approval.
